Name,Symbol,Price,Market cap,24h change
Nano,NANO,2.06,$ 275.11M,+1.21%
Solar,SXP,0.439,$ 275.01M,-2.20%
Kamino,KMNO,0.202,$ 272.52M,-6.15%
Metaplex,MPLX,0.359,$ 271.48M,-4.66%
NEM,XEM,0.0384,$ 271.43M,-4.46%
Conflux Network,CFX,0.25,$ 268.12M,-2.33%
WorldMobileToken,WMTX,0.536,$ 263.4M,-0.24%
DEGEN,DEGEN,0.021,$ 262.17M,+6.62%
Wilder World,WILD,0.81,$ 262.03M,+28.13%
Open Campus,EDU,0.735,$ 256.56M,-3.64%
Dogelon Mars,ELON,0.0₆265,$ 254.25M,+2.05%
Verge,XVG,0.0154,$ 254.11M,-2.45%
basedAI,BASEDAI,7.24,$ 250.36M,-8.96%
Wrapped Centrifuge,CFG,0.494,$ 250.78M,+2.37%
Numeraire,NMR,24.71,$ 246.77M,-2.62%
Department Of Government Efficiency,DOGE,0.246,$ 245.76M,-10.81%
Liquity,LQTY,2.60,$ 245.42M,+9.02%
ApeCoin,APE,1.87,$ 245.35M,-0.92%
PEAQ,PEAQ,0.649,$ 244.54M,+6.02%
Name,Symbol,Price,Market cap,24h change
Tellor,TRB,92.36,$ 242.53M,-2.16%
SAGA,SAGA,2.69,$ 241.9M,-3.95%
OKC,OKT,13.41,$ 238.82M,-1.87%
LimeWire,LMWR,0.382,$ 238.42M,+0.41%
Mythos,MYTH,0.322,$ 236.77M,-3.35%
Highstreet,HIGH,2.37,$ 236.96M,-4.04%
Cartesi,CTSI,0.235,$ 235.17M,-3.27%
Tether Gold,XAUT,"2,755.21",$ 235.3M,+3.62%
Oraichain Token,ORAI,14.01,$ 232.46M,-3.63%
Celer Network,CELR,0.0298,$ 229.76M,-3.46%
Zigcoin,ZIG,0.157,$ 228.57M,+1.40%
Bloktopia,BLOK,0.00114,$ 228.33M,-5.07%
Balancer,BAL,3.78,$ 228.06M,-1.45%
JasmyCoin,JASMY,0.0479,$ 227.68M,-3.42%
Fartcoin,FARTCOIN,0.228,$ 228.34M,+27.42%
Ontology,ONT,0.352,$ 224.19M,-0.40%
Origin protocol,OGN,0.159,$ 223.37M,-3.11%
Marlin POND,POND,0.0247,$ 222.88M,-2.65%
iExec RLC,RLC,2.78,$ 222.52M,-2.54%
Bifrost,BFC,0.0551,$ 220.59M,-1.06%
Velo,VELO,0.0296,$ 218.7M,+0.00%
PIXEL,PIXEL,0.282,$ 217.27M,-2.46%
Alephium,ALPH,2.50,$ 217.2M,+24.33%
Maple,MPL,23.29,$ 216.54M,+2.39%
DeepBook Token,DEEP,0.0867,$ 216.63M,-0.52%
ZetaChain,ZETA,0.903,$ 213.58M,-2.21%
THENA,THE,2.49,$ 209.96M,+0.77%
Goldfinch,GFI,2.40,$ 207.31M,+5.42%
Stader,SD,1.37,$ 205.61M,-2.23%
GoMining Token,GMT,0.492,$ 203.88M,+2.69%
Cream,CREAM,22.72,$ 204.08M,+1.35%
aleph.im,ALEPH,0.201,$ 200.81M,-5.79%
Oasis Network,ROSE,0.133,$ 200.12M,-1.31%
BORA,BORA,0.165,$ 198.42M,+1.76%
Landwolf,WOLF,0.000218,$ 196.62M,+7.98%
Audius,AUDIO,0.226,$ 196.11M,-2.30%
Dent,DENT,0.00196,$ 195.68M,-1.65%
Scroll,SCR,1.03,$ 195.08M,-3.12%
UltimaEcosystem,ULTIMA,"4,618.05",$ 194.5M,-0.15%
Bitkub Coin,KUB,2.64,$ 193.91M,-1.93%
Venus,XVS,11.60,$ 193.44M,-0.60%
RSS3,RSS3,0.193,$ 192.74M,+1.39%
Coin98,C98,0.276,$ 191.35M,+2.14%
Nosana,NOS,3.92,$ 189.11M,+2.77%
Ontology Gas,ONG,0.475,$ 189.15M,-1.28%
X Empire,X,0.000274,$ 189.1M,+34.97%
Sundog,SUNDOG,0.189,$ 188.77M,-1.09%
Mines of Dalarnia,DAR,0.236,$ 188.99M,-1.23%
Alpha Finance Lab,ALPHA,0.129,$ 188.4M,-2.06%
BounceBit,BB,0.457,$ 187.36M,-5.04%
Name,Symbol,Price,Market cap,24h change
Akash,AKT,4.60,$ 187.04M,-1.12%
Phala Network,PHA,0.186,$ 186.15M,-1.07%
SPACE ID,ID,0.644,$ 184.02M,-2.28%
Civic,CVC,0.183,$ 183.1M,-1.53%
NodeAI,GPU,1.85,$ 181.85M,-6.71%
Synapse,SYN,0.955,$ 181.37M,-3.92%
Bone ShibaSwap,BONE,0.725,$ 181.19M,+4.30%
Aleph Zero,AZERO,0.59,$ 181.32M,-4.65%
Synapse Protocol,SYN,0.955,$ 180.87M,-3.62%
Celsius Network,CEL,0.261,$ 180.72M,-0.51%
Catizen,CATI,0.592,$ 180.56M,+0.91%
TrueFi,TRU,0.143,$ 179.38M,+1.01%
Lisk,LSK,1.39,$ 179.15M,+0.89%
COQINU,COQ,0.0₅257,$ 178.32M,+2.06%
Spell Token,SPELL,0.00115,$ 176.6M,-2.83%
ALEO,ALEO,1.69,$ 170.78M,+2.39%
Zentry,ZENT,0.0278,$ 169.61M,-1.51%
AI Companions,AIC,0.188,$ 169.17M,-4.34%
ANyONe Protocol,ANYONE,1.83,$ 168.6M,-5.63%
Everipedia,IQ,0.0104,$ 167.33M,-6.66%
My Neighbor Alice,ALICE,1.82,$ 167.38M,-2.84%
Orbs,ORBS,0.0371,$ 166.9M,-2.31%
ERGO,ERG,2.11,$ 166.46M,-1.91%
WINkLink,WIN,0.000161,$ 165.53M,+4.22%
Voxies,VOXEL,0.273,$ 163.99M,-0.28%
Prosper,PROS,0.821,$ 163.84M,+10.37%
Alethea Artificial Liquid Intelligence Token,ALI,0.0199,$ 163.38M,-4.63%
sudeng,HIPPO,0.0161,$ 161.43M,-4.00%
Pundi X,PUNDIX,0.625,$ 161.5M,-1.27%
SLERF,SLERF,0.318,$ 158.81M,+1.79%
TokenFi,TOKEN,0.0778,$ 158.73M,-4.66%
Automata Network,ATA,0.147,$ 158.57M,-1.66%
Zano,ZANO,10.84,$ 157.61M,+8.24%
NetMind Token,NMT,3.71,$ 156.99M,-3.44%
COTI,COTI,0.18,$ 156.65M,-0.41%
CARV,CARV,1.04,$ 156.54M,-1.66%
Aurora,AURORA,0.281,$ 155.7M,+0.84%
LUMIA,LUMIA,2.11,$ 155.83M,-2.95%
Banana,BANANA,59.45,$ 154.17M,-0.19%
Bounce,AUCTION,20.15,$ 153.92M,-4.18%
michi,$MICHI,0.277,$ 154.11M,-2.40%
Symbol,XYM,0.0274,$ 153.4M,-7.76%
Syscoin,SYS,0.173,$ 153.34M,-4.97%
Sun,SUN,0.0308,$ 152.96M,-2.16%
Taiko Token,TAIKO,2.32,$ 152.81M,-2.74%
HashAI,HASHAI,0.0017,$ 152.46M,-6.64%
Gods Unchained,GODS,0.299,$ 149.37M,+7.97%
dKargo,DKA,0.0298,$ 149.23M,+1.04%
Venom,VENOM,0.0785,$ 148.8M,+0.20%
Bitgert,BRISE,0.0₆148,$ 147.95M,+8.17%
Name,Symbol,Price,Market cap,24h change
ACEToken,ACE,3.47,$ 146.91M,-3.14%
ECOMI,OMI,0.000541,$ 146.61M,-3.97%
Seedify.fund,SFUND,2.31,$ 146.6M,+1.21%
The Doge NFT,DOG,0.00862,$ 146.55M,+17.98%
Santos FC Fan Token,SANTOS,4.87,$ 146.15M,+2.26%
Mobox,MBOX,0.308,$ 145.16M,-3.14%
Hive,HIVE,0.389,$ 144.75M,+21.05%
Cetus,CETUS,0.43,$ 144.69M,-5.65%
Steem,STEEM,0.302,$ 144.14M,+0.95%
AITECH,AITECH,0.132,$ 142.35M,-6.45%
dYdX Token,DYDX,2.55,$ 142.04M,+3.83%
CoW Protocol,COW,0.514,$ 141.39M,-0.53%
Unizen,ZCX,0.205,$ 141.2M,-2.43%
Perpetual Protocol,PERP,1.22,$ 141.28M,-1.89%
Prometeus,PROM,7.41,$ 140.79M,+0.61%
Velodrome Finance,VELO,0.162,$ 140.12M,-3.63%
Lista DAO,LISTA,0.608,$ 139.79M,-1.46%
Helium Mobile,MOBILE,0.00161,$ 138.8M,-8.92%
Radiant Capital,RDNT,0.118,$ 138.3M,+14.59%
Mumu the Bull,MUMU,0.0000604,$ 137.87M,+0.98%
Omni Network,OMNI,13.18,$ 136.98M,-2.80%
CertiK,CTK,0.975,$ 137.07M,-0.72%
Covalent X Token,CXT,0.14,$ 134.11M,-6.79%
Orchid Protocol,OXT,0.134,$ 134.41M,-2.36%
Myro,$MYRO,0.134,$ 134.12M,-2.52%
AIT Protocol,AIT,0.138,$ 134.88M,-1.10%
JOE,JOE,0.611,$ 133.77M,-2.92%
TOSHI,TOSHI,0.000318,$ 133.6M,-5.65%
DAO Maker,DAO,0.528,$ 132.59M,-2.66%
H2O DAO,H2O,0.16,$ 132.31M,+0.87%
STASIS EURO,EURS,1.06,$ 131.09M,+0.17%
SIDUS HEROES,SIDUS,0.00735,$ 131.38M,+7.06%
SuperRare,RARE,0.182,$ 129.62M,-4.63%
MovieBloc,MBL,0.00433,$ 129.66M,-0.30%
Stox,STX,2.64,$ 129.37M,-1.57%
Chain,XCN,0.00275,$ 129.32M,-1.96%
Gitcoin,GTC,1.29,$ 128.88M,-2.74%
RATS BRC,RATS,0.000128,$ 127.59M,-2.05%
BENQI,QI,0.025,$ 127.4M,-1.79%
Adventure Gold,AGLD,1.65,$ 127.25M,+3.70%
Acala,ACA,0.112,$ 127.01M,-2.96%
QuarkChain,QKC,0.0132,$ 125.52M,+0.93%
Radio Caca,RACA,0.000301,$ 125.27M,-4.15%
Boba Network,BOBA,0.306,$ 124.09M,-3.72%
Ardor,ARDR,0.124,$ 123.55M,-1.27%
SdexToken,SDEX,0.0136,$ 121.88M,+0.12%
Beta Finance,BETA,0.0605,$ 121.19M,-1.47%
WAX,WAXP,0.063,$ 120.96M,-2.24%
Shadow Token,SHDW,0.745,$ 120.46M,-0.66%
BOBO,BOBO,0.0₅174,$ 120.01M,+34.53%
Name,Symbol,Price,Market cap,24h change
Propchain,PROPC,1.73,$ 118.34M,-2.89%
STP Network,STPT,0.0607,$ 117.94M,-2.63%
Aavegotchi,GHST,1.42,$ 116.67M,-3.14%
DIA,DIA,0.967,$ 115.7M,-1.26%
Coreum,COREUM,0.30,$ 115.37M,+0.19%
Ultra,UOS,0.132,$ 114.75M,-3.68%
Milady,LADYS,0.0₆129,$ 114.63M,-5.59%
Dusk,DUSK,0.318,$ 114.58M,-0.19%
Decentralized Social,DESO,12.86,$ 114.26M,+29.89%
WEN,WEN,0.000156,$ 113.6M,+1.54%
Hifi Finance,HIFI,0.802,$ 113.51M,+0.51%
Wojak Coin,WOJAK,0.00163,$ 113.31M,+1.52%
Bancor,BNT,0.937,$ 112.04M,+0.07%
XAI,XAI,0.40,$ 110.92M,-2.93%
Telos,TLOS,0.256,$ 110.54M,+0.69%
OX Coin,OX,0.0298,$ 110.1M,-0.49%
DODO,DODO,0.209,$ 110.31M,-3.06%
Moca,MOCA,0.094,$ 106.98M,+4.22%
OPENLOOT,OL,0.46,$ 106.62M,+2.03%
Shibabitcoin,SHIBTC,1.22,$ 105.86M,-0.13%
Secret,SCRT,0.654,$ 105.58M,-4.16%
