Name,Symbol,Price,Market cap,24h change
Gas,GAS,6.80,$ 655.18M,+5.91%
WOO Network,WOO,0.356,$ 654.16M,+0.48%
0x,ZRX,0.77,$ 653.78M,-2.96%
Safe Token,SAFE,1.53,$ 653.56M,-2.44%
Frax,FRAX,0.992,$ 649.28M,-0.88%
Bitcoin Gold,BTG,37.09,$ 643.82M,+1.52%
Dexe,DEXE,11.13,$ 636.32M,+5.45%
Ribbon Finance,RBN,0.628,$ 627.31M,+6.84%
AIOZ Network,AIOZ,1.17,$ 617.36M,-0.91%
Harmony,ONE,0.0426,$ 609.91M,+30.08%
Celo,CELO,1.08,$ 599.99M,+7.75%
Illuvium,ILV,68.37,$ 590.62M,+2.11%
Act I : The AI Prophecy,ACT,0.614,$ 589.81M,+6.31%
Nakamoto.Games,NAKA,1.64,$ 589.06M,+3.09%
BOOK OF MEME,BOME,0.0106,$ 587.61M,+10.98%
tBTC v2,TBTC,"99,344.45",$ 581.11M,+1.56%
Snek,SNEK,0.00779,$ 579.27M,-1.09%
Axie Infinity,AXS,9.43,$ 574.52M,+4.76%
IoTeX,IOTX,0.0607,$ 573.28M,+1.40%
Memecoin,MEME,0.0177,$ 568.43M,+7.60%
EthereumPoW,ETHW,5.25,$ 566.22M,+8.95%
StarkNet Token,STRK,0.775,$ 564.31M,+3.84%
Cheelee,CHEEL,9.77,$ 554.71M,-1.21%
Kadena,KDA,1.83,$ 545.14M,+5.78%
BELDEX,BDX,0.0786,$ 543.31M,+0.45%
SUSHI,SUSHI,1.89,$ 526.71M,+23.73%
GIGACHAD,GIGA,0.0563,$ 523.63M,+2.62%
yearn.finance,YFI,"14,151.05",$ 521.07M,+17.44%
PAX Gold,PAXG,"2,625.78",$ 519.83M,+0.13%
aelf,ELF,0.601,$ 519.51M,+2.91%
pepeCoin,PEPECOIN,3.91,$ 515.95M,-7.47%
QTUM,QTUM,4.87,$ 513.05M,+5.42%
Basic Attention Token,BAT,0.341,$ 510.27M,+3.90%
Binance USD,BUSD,0.953,$ 509.78M,-5.47%
Manta,MANTA,1.33,$ 509.52M,+4.98%
Osmosis,OSMO,0.802,$ 508.21M,+3.74%
Theta Fuel,TFUEL,0.095,$ 503.91M,+7.37%
Vulcan Forged,PYR,4.29,$ 497.83M,+3.06%
OriginTrail,TRAC,1.20,$ 496.2M,+5.69%
Name,Symbol,Price,Market cap,24h change
Moo Deng,MOODENG,0.488,$ 482.6M,+3.89%
Destra Network,DSYNC,0.492,$ 477.12M,+4.19%
UMA,UMA,3.87,$ 473.02M,-0.65%
AltLayer Token,ALT,0.202,$ 466.34M,+5.76%
Fasttoken,FTN,3.19,$ 458.77M,+0.60%
Threshold,T,0.0413,$ 456.45M,+14.79%
SKALE,SKL,0.0803,$ 451.2M,+3.70%
zerebro,ZEREBRO,0.457,$ 447.25M,+13.33%
Gala,GALA,0.0592,$ 446.68M,+1.45%
DOGS,DOGS,0.000863,$ 445.45M,+9.47%
Siacoin,SC,0.00806,$ 441.73M,+1.74%
Just a chill guy,CHILLGUY,0.442,$ 442.13M,+6.40%
Chia Network,XCH,31.60,$ 440.47M,+1.10%
Simons Cat,CAT,0.0000573,$ 439.5M,+14.19%
Drift,DRIFT,1.63,$ 432.2M,-5.36%
